Season,DayDate,Date,HomeTeam,Score,HomeGoal,AwayGoal,FTResult,AwayTeam,Over2.5,TotalGoals,BTTS,WinMargin
2023,Sa 15 Apr,15/4/2023,Young Lions ,1 - 1,1,1,D, Lion City,-,2,+,0
2023,Su 16 Apr,16/4/2023,Hougang ,1 - 1,1,1,D, Tampines Rovers,-,2,+,0
2023,Su 16 Apr,16/4/2023,Tanjong Pagar ,2 - 4,2,4,A, Khalsa,+,6,+,2
2023,Th 20 Apr,20/4/2023,Tampines Rovers ,2 - 0,2,0,H, DPMM FC,-,2,-,2
2023,Fr 5 May,5/5/2023,Tampines Rovers ,2 - 3,2,3,A, Khalsa,+,5,+,1
2023,Sa 6 May,6/5/2023,Hougang ,0 - 5,0,5,A, A. Niigata (S),+,5,-,5
2023,Su 7 May,7/5/2023,DPMM FC ,2 - 1,2,1,H, Tanjong Pagar,+,3,+,1
2023,Su 7 May,7/5/2023,Geylang ,1 - 2,1,2,A, Lion City,+,3,+,1
2023,Fr 12 May,12/5/2023,Hougang ,3 - 2,3,2,H, Geylang,+,5,+,1
2023,Sa 13 May,13/5/2023,DPMM FC ,3 - 3,3,3,D, Lion City,+,6,+,0
2023,Su 14 May,14/5/2023,Tampines Rovers ,3 - 0,3,0,H, Tanjong Pagar,+,3,-,3
2023,Sa 20 May,20/5/2023,Khalsa ,3 - 2,3,2,H, DPMM FC,+,5,+,1
2023,Sa 20 May,20/5/2023,Tampines Rovers ,1 - 0,1,0,H, Young Lions,-,1,-,1
2023,Su 21 May,21/5/2023,Geylang ,2 - 3,2,3,A, Tanjong Pagar,+,5,+,1
2023,Su 21 May,21/5/2023,Lion City ,3 - 2,3,2,H, A. Niigata (S),+,5,+,1
2023,Fr 26 May,26/5/2023,A. Niigata (S) ,6 - 2,6,2,H, Khalsa,+,8,+,4
2023,Sa 27 May,27/5/2023,Young Lions ,0 - 2,0,2,A, Geylang,-,2,-,2
2023,Su 28 May,28/5/2023,DPMM FC ,0 - 1,0,1,A, Tampines Rovers,-,1,-,1
2023,Su 28 May,28/5/2023,Tanjong Pagar ,1 - 3,1,3,A, Hougang,+,4,+,2
2023,Th 1 Jun,1/6/2023,Khalsa ,4 - 5,4,5,A, Lion City,+,9,+,1
2023,Sa 3 Jun,3/6/2023,Hougang ,3 - 0,3,0,H, Young Lions,+,3,-,3
2023,Tu 6 Jun,6/6/2023,A. Niigata (S) ,3 - 0,3,0,H, Geylang,+,3,-,3
2023,Tu 6 Jun,6/6/2023,Young Lions ,3 - 4,3,4,A, Tanjong Pagar,+,7,+,1
2023,We 7 Jun,7/6/2023,DPMM FC ,2 - 3,2,3,A, Hougang,+,5,+,1
2023,We 7 Jun,7/6/2023,Lion City ,1 - 1,1,1,D, Tampines Rovers,-,2,+,0
2023,Sa 10 Jun,10/6/2023,Lion City ,4 - 1,4,1,H, Young Lions,+,5,+,3
2023,Sa 10 Jun,10/6/2023,Tampines Rovers ,2 - 0,2,0,H, Hougang,-,2,-,2
2023,Su 11 Jun,11/6/2023,DPMM FC ,0 - 2,0,2,A, A. Niigata (S),-,2,-,2
2023,Su 11 Jun,11/6/2023,Khalsa ,4 - 3,4,3,H, Tanjong Pagar,+,7,+,1
2023,Fr 23 Jun,23/6/2023,Khalsa ,2 - 3,2,3,A, Geylang,+,5,+,1
2023,Sa 24 Jun,24/6/2023,A. Niigata (S) ,4 - 0,4,0,H, Tanjong Pagar,+,4,-,4
2023,Sa 24 Jun,24/6/2023,DPMM FC ,6 - 0,6,0,H, Young Lions,+,6,-,6
2023,Su 25 Jun,25/6/2023,Lion City ,3 - 0,3,0,H, Hougang,+,3,-,3
2023,Tu 27 Jun,27/6/2023,Tampines Rovers ,1 - 1,1,1,D, A. Niigata (S),-,2,+,0
2023,We 28 Jun,28/6/2023,Geylang ,2 - 0,2,0,H, DPMM FC,-,2,-,2
2023,Sa 1 Jul,1/7/2023,Tanjong Pagar ,1 - 7,1,7,A, Lion City,+,8,+,6
2023,Sa 1 Jul,1/7/2023,Young Lions ,2 - 4,2,4,A, A. Niigata (S),+,6,+,2
2023,Su 2 Jul,2/7/2023,Geylang ,1 - 1,1,1,D, Tampines Rovers,-,2,+,0
2023,Su 2 Jul,2/7/2023,Hougang ,1 - 3,1,3,A, Khalsa,+,4,+,2
2023,Th 6 Jul,6/7/2023,Hougang ,0 - 1,0,1,A, Tampines Rovers,-,1,-,1
2023,Th 6 Jul,6/7/2023,Tanjong Pagar ,2 - 3,2,3,A, Khalsa,+,5,+,1
2023,Fr 7 Jul,7/7/2023,Young Lions ,0 - 4,0,4,A, Lion City,+,4,-,4
2023,Sa 8 Jul,8/7/2023,DPMM FC ,1 - 1,1,1,D, A. Niigata (S),-,2,+,0
2023,Tu 11 Jul,11/7/2023,Lion City ,1 - 3,1,3,A, DPMM FC,+,4,+,2
2023,Tu 11 Jul,11/7/2023,Tampines Rovers ,2 - 1,2,1,H, Tanjong Pagar,+,3,+,1
2023,We 12 Jul,12/7/2023,Geylang ,0 - 2,0,2,A, Hougang,-,2,-,2
2023,We 12 Jul,12/7/2023,Khalsa ,4 - 2,4,2,H, Young Lions,+,6,+,2
2023,Sa 15 Jul,15/7/2023,Tanjong Pagar ,2 - 2,2,2,D, Geylang,+,4,+,0
2023,Sa 15 Jul,15/7/2023,Young Lions ,2 - 3,2,3,A, Tampines Rovers,+,5,+,1
2023,Su 16 Jul,16/7/2023,A. Niigata (S) ,3 - 1,3,1,H, Lion City,+,4,+,2
2023,Su 16 Jul,16/7/2023,DPMM FC ,2 - 3,2,3,A, Khalsa,+,5,+,1
2023,Th 20 Jul,20/7/2023,Lion City ,3 - 2,3,2,H, Tanjong Pagar,+,5,+,1
2023,Fr 21 Jul,21/7/2023,Khalsa ,1 - 3,1,3,A, Hougang,+,4,+,2
2023,Sa 22 Jul,22/7/2023,A. Niigata (S) ,5 - 0,5,0,H, Young Lions,+,5,-,5
2023,Sa 22 Jul,22/7/2023,Tampines Rovers ,2 - 3,2,3,A, Geylang,+,5,+,1
2023,Fr 28 Jul,28/7/2023,A. Niigata (S) ,6 - 3,6,3,H, Tampines Rovers,+,9,+,3
2023,Fr 28 Jul,28/7/2023,DPMM FC ,1 - 2,1,2,A, Geylang,+,3,+,1
2023,Sa 29 Jul,29/7/2023,Young Lions ,2 - 6,2,6,A, Hougang,+,8,+,4
